TRIGUN,9,rwenmax
Watashi no Shiawase na Kekkon,9,rwenmax
WORKING!!,9,rwenmax
WORKING!!!,9,rwenmax
WORKING'!!,9,rwenmax
WWW.WORKING!!,9,rwenmax
Yahari Ore no Seishun Love Come wa Machigatteiru. Kan,9,rwenmax
Yamada-kun to Lv999 no Koi wo Suru,9,rwenmax
Yubisaki to Renren,9,rwenmax
Akagami no Shirayuki-hime,8,rwenmax
Ansatsu Kyoushitsu,8,rwenmax
Ansatsu Kyoushitsu 2,8,rwenmax
Arte,8,rwenmax
Bakuman.,8,rwenmax
Bakuman. 2,8,rwenmax
Chuunibyou demo Koi ga Shitai!,8,rwenmax
"CLANNAD: Mou Hitotsu no Sekai, Tomoyo-hen",8,rwenmax
Cross Game,8,rwenmax
"Fuufu Ijou, Koibito Miman.",8,rwenmax
Genjitsu Shugi Yuusha no Oukoku Saikenki,8,rwenmax
Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,8,rwenmax
Go-toubun no Hanayome ∬,8,rwenmax
Golden Time,8,rwenmax
Grisaia no Kajitsu,8,rwenmax
Haiyore! Nyaruko-san,8,rwenmax
Hanasakeru Seishounen,8,rwenmax
Horimiya,8,rwenmax
Kami nomi zo Shiru Sekai,8,rwenmax
Kami nomi zo Shiru Sekai: Megami-hen,8,rwenmax
Kanojo ga Koushaku-tei ni Itta Riyuu,8,rwenmax
Katanagatari,8,rwenmax
"Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu",8,rwenmax
Koroshi Ai,8,rwenmax
Kyokou Suiri,8,rwenmax
Kyoukai no Kanata: I'LL BE HERE - Mirai-hen,8,rwenmax
Log Horizon,8,rwenmax
Log Horizon 2,8,rwenmax
Log Horizon: Entaku Houkai,8,rwenmax
"Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu Suru",8,rwenmax
Lovely★Complex,8,rwenmax
Mahouka Koukou no Rettousei: Hoshi wo Yobu Shoujo,8,rwenmax
Mahouka Koukou no Rettousei: Raihousha-hen,8,rwenmax
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",8,rwenmax
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",8,rwenmax
No Game No Life,8,rwenmax
Nogizaka Haruka no Himitsu,8,rwenmax
Nogizaka Haruka no Himitsu: Finale♪,8,rwenmax
One Punch Man,8,rwenmax
Ookami to Koushinryou,8,rwenmax
Ookami to Koushinryou II,8,rwenmax
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",8,rwenmax
Otomege Sekai wa Mob ni Kibishii Sekai desu,8,rwenmax
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8,rwenmax
ReLIFE,8,rwenmax
Rikei ga Koi ni Ochita no de Shoumei shitemita.,8,rwenmax
Saenai Heroine no Sodatekata ♭,8,rwenmax
Saiki Kusuo no Ψ-nan,8,rwenmax
Sakurasou no Pet na Kanojo,8,rwenmax
Seijo no Maryoku wa Bannou desu,8,rwenmax
Seirei Gensouki,8,rwenmax
Shingeki no Kyojin,8,rwenmax
Shingeki no Kyojin 2,8,rwenmax
Shingeki no Kyojin OVA,8,rwenmax
Shokugeki no Souma,8,rwenmax
Shokugeki no Souma: Ni no Sara,8,rwenmax
Suzumiya Haruhi no Yuuutsu (2009),8,rwenmax
Sword Art Online: Progressive - Hoshinaki Yoru no Aria,8,rwenmax
Sword Art Online: Progressive - Kuraki Yuuyami no Scherzo,8,rwenmax
Tada-kun wa Koi wo Shinai,8,rwenmax
Tenkuu no Shiro Laputa,8,rwenmax
Tokyo Ravens,8,rwenmax
Tsuki ga Michibiku Isekai Douchuu,8,rwenmax
VINLAND SAGA,8,rwenmax
WORKING!!!: Lord of the Takanashi,8,rwenmax
Yahari Ore no Seishun Love Come wa Machigatteiru.,8,rwenmax
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,8,rwenmax
